year,city,quantidade_registros,area_ha_total
2021,DESCANSO,1,6.0511
2021,DIONISIO CERQUEIRA,1,5.8099
2021,DONA EMMA,1,0.581
2021,DOUTOR PEDRINHO,1,9.7224
2021,FAXINAL DOS GUEDES,1,3.6788
2021,FRAIBURGO,1,2.1454
2021,GASPAR,1,2.6764
2021,IBIAM,1,1.3437
2021,IBIRAMA,1,2.0742
2021,IMARUI,1,5.4098
2021,IMBUIA,2,6.2802
2021,INDAIAL,1,3.9708
2021,IPIRA,5,26.27
2021,IRACEMINHA,1,0.8246
2021,IRINEOPOLIS,2,3.6294
2021,ITA,1,10.6528
2021,ITAIOPOLIS,26,81.858
2021,ITAJAI,1,3.1005
2021,ITAPIRANGA,2,3.842
2021,ITAPOA,6,56.6608
2021,ITUPORANGA,1,1.5547
2021,JACINTO MACHADO,2,2.2023
2021,JOACABA,1,2.8222
2021,JOINVILLE,2,10.8003
2021,JOSE BOITEUX,2,4.172
2021,LAGES,1,3.1164
2021,LEBON REGIS,5,14.5347
2021,LINDOIA DO SUL,1,5.7141
2021,LUIZ ALVES,1,2.3542
2021,LUZERNA,1,10.6172
2021,MACIEIRA,3,12.9056
2021,MAFRA,18,48.8484
2021,MAJOR VIEIRA,2,2.4425
2021,MASSARANDUBA,1,2.7505
2021,MATOS COSTA,1,6.3886
2021,MONTE CASTELO,11,24.5986
2021,NAVEGANTES,1,5.7301
2021,OTACILIO COSTA,3,6.1157
2021,PALHOCA,4,17.9891
2021,PALMEIRA,1,1.7095
2021,PALMITOS,1,2.4522
2021,PAPANDUVA,4,11.3927
2021,PASSOS MAIA,2,11.5872
2021,PEDRAS GRANDES,2,6.7235
2021,PERITIBA,1,17.2085
2021,PETROLANDIA,3,3.4005
2021,PIRATUBA,1,1.0021
2021,PONTE ALTA,1,0.9184
2021,PONTE ALTA DO NORTE,1,37.2214
2021,PONTE SERRADA,3,66.9324
2021,PORTO UNIAO,2,4.2101
2021,POUSO REDONDO,1,1.0564
2021,PRESIDENTE CASTELLO BRANCO,1,3.8494
2021,RANCHO QUEIMADO,2,2.1979
2021,RIO DO OESTE,1,0.9967
2021,RIO DO SUL,2,15.0506
2021,RIO DOS CEDROS,2,9.3112
2021,RIO FORTUNA,1,3.3472
2021,RIO NEGRINHO,13,70.4086
2021,RIO RUFINO,1,3.8672
2021,ROMELANDIA,2,4.1004
2021,SANTA CECILIA,3,28.5611
2021,SANTA ROSA DE LIMA,1,0.1541
2021,SANTA TEREZINHA,3,9.0708
2021,SAO BENTO DO SUL,1,0.7689
2021,SAO BERNARDINO,1,2.1814
2021,SAO BONIFACIO,3,3.9335
2021,SAO CRISTOVAO DO SUL,1,4.0597
2021,SAO DOMINGOS,1,1.7598
2021,SAO FRANCISCO DO SUL,7,29.1196
2021,SAO JOAO DO ITAPERIU,1,1.4737
2021,SAO JOAQUIM,4,8.2106
2021,SAO JOSE DO CERRITO,15,66.8381
2021,SAO MARTINHO,1,1.2524
2021,SAO MIGUEL DA BOA VISTA,1,1.7234
2021,SAO PEDRO DE ALCANTARA,1,1.7299
2021,SEARA,1,1.5167
2021,SIDEROPOLIS,1,2.3607
2021,SOMBRIO,1,1.4242
2021,TAIO,2,2.2441
